prec_no,prefecture_name,prefecture_name_en
11,宗谷総合振興局,souya
12,上川総合振興局,kamikawa
13,留萌振興局,rumoi
14,石狩振興局,ishikari
15,空知総合振興局,sorachi
16,後志総合振興局,shiribeshi
17,オホーツク総合振興局,okhotsk
18,根室振興局,nemuro
19,釧路総合振興局,kushiro
20,十勝総合振興局,tokachi
21,胆振総合振興局,iburi
22,日高振興局,hidaka
23,渡島総合振興局,oshima
24,檜山振興局,hiyama
31,青森県,aomori
32,秋田県,akita
33,岩手県,iwate
34,宮城県,miyagi
35,山形県,yamagata
36,福島県,fukushima
40,茨城県,ibaraki
41,栃木県,tochigi
42,群馬県,gunma
43,埼玉県,saitama
44,東京都,tokyo
45,千葉県,chiba
46,神奈川県,kanagawa
48,長野県,nagano
49,山梨県,yamanashi
50,静岡県,shizuoka
51,愛知県,aichi
52,岐阜県,gifu
53,三重県,mie
54,新潟県,niigata
55,富山県,toyama
56,石川県,ishikawa
57,福井県,fukui
60,滋賀県,shiga
61,京都府,kyoto
62,大阪府,osaka
63,兵庫県,hyogo
64,奈良県,nara
65,和歌山県,wakayama
66,岡山県,okayama
67,広島県,hiroshima
68,島根県,shimane
69,鳥取県,tottori
71,徳島県,tokushima
72,香川県,kagawa
73,愛媛県,ehime
74,高知県,kochi
81,山口県,yamaguchi
82,福岡県,fukuoka
83,大分県,oita
84,長崎県,nagasaki
85,佐賀県,saga
86,熊本県,kumamoto
87,宮崎県,miyazaki
88,鹿児島県,kagoshima
91,沖縄県,okinawa
